iter	MAE
0	35.08949353
1	34.26096236
2	33.41806384
3	32.63634249
4	31.85679854
5	31.11033618
6	30.46977734
7	29.78434725
8	29.13301572
9	28.52299022
10	27.91599927
11	27.32803709
12	26.7567143
13	26.24821639
14	25.72324456
15	25.21858219
16	24.74022406
17	24.26219643
18	23.79824326
19	23.40214472
20	22.98515918
21	22.58961634
22	22.18254322
23	21.82141273
24	21.47314402
25	21.14113145
26	20.78409081
27	20.44970421
28	20.1372633
29	19.83735371
30	19.53437882
31	19.24503296
32	18.96251001
33	18.71008984
34	18.4574251
35	18.19464846
36	17.94907985
37	17.7205754
38	17.50946464
39	17.30217631
40	17.08902498
41	16.88673471
42	16.6903003
43	16.50790997
44	16.32597445
45	16.14299661
46	15.97681181
47	15.81563054
48	15.64964058
49	15.48584928
50	15.3154595
51	15.16745641
52	15.02281477
53	14.8834513
54	14.75235504
55	14.63806776
56	14.50905768
57	14.38821761
58	14.27761074
59	14.16361927
60	14.04765439
61	13.93645871
62	13.8402194
63	13.73528548
64	13.63912968
65	13.53627464
66	13.44041454
67	13.35076606
68	13.27008456
69	13.18657903
70	13.09404149
71	13.0119217
72	12.94299386
73	12.87698629
74	12.80629401
75	12.73809528
76	12.65840515
77	12.59284574
78	12.51498329
79	12.45023191
80	12.3878915
81	12.33427852
82	12.26179001
83	12.21411074
84	12.15414422
85	12.10854986
86	12.06174158
87	12.01452811
88	11.96518375
89	11.91335568
90	11.86470636
91	11.81631269
92	11.77313743
93	11.73088534
94	11.68819804
95	11.64879127
96	11.60744446
97	11.57400051
98	11.53362398
99	11.49495042
100	11.45773141
101	11.42204312
102	11.39161188
103	11.36132233
104	11.32910426
105	11.29896054
106	11.27177813
107	11.23946292
108	11.20693983
109	11.18137514
110	11.14970862
111	11.11871378
112	11.09604201
113	11.07195479
114	11.04216139
115	11.01442986
116	10.99244023
117	10.97131784
118	10.94111342
119	10.91706647
120	10.89397924
121	10.8719016
122	10.84827365
123	10.82930971
124	10.80889351
125	10.78520197
126	10.75769279
127	10.73367109
128	10.7127426
129	10.69099387
130	10.66350763
131	10.64513475
132	10.62800633
133	10.60867055
134	10.58800431
135	10.56463172
136	10.54272122
137	10.52301764
138	10.50133819
139	10.48645422
140	10.46490202
141	10.4471988
142	10.43381433
143	10.42099601
144	10.39652783
145	10.38069314
146	10.35879644
147	10.34263348
148	10.32827031
149	10.30801734
150	10.29201016
151	10.27805908
152	10.25961382
153	10.24690981
154	10.22358969
155	10.20460733
156	10.18296796
157	10.17207819
158	10.15880636
159	10.14166791
160	10.13007287
161	10.11738124
162	10.10400983
163	10.08824754
164	10.06699953
165	10.05153441
166	10.04052783
167	10.02251014
168	10.00876657
169	9.990129808
170	9.979710359
171	9.966562019
172	9.944333588
173	9.932017607
174	9.917670469
175	9.896224607
176	9.876398339
177	9.865650497
178	9.847143485
179	9.836910611
180	9.820736189
181	9.806342793
182	9.79776879
183	9.784086713
184	9.76997066
185	9.7568753
186	9.745396241
187	9.730781052
188	9.712361573
189	9.701092668
190	9.689005826
191	9.675154971
192	9.662813482
193	9.652872617
194	9.646056837
195	9.630971662
196	9.622319567
197	9.609373698
198	9.591508379
199	9.581483484
200	9.568073519
201	9.554685599
202	9.534881353
203	9.517225867
204	9.510211003
205	9.494815133
206	9.484933148
207	9.476011994
208	9.457350134
209	9.44354354
210	9.43369021
211	9.426736954
212	9.415753458
213	9.40814643
214	9.398462236
215	9.390440461
216	9.381045572
217	9.374328437
218	9.362976941
219	9.356482611
220	9.346896751
221	9.334616793
222	9.322736175
223	9.310881283
224	9.301361739
225	9.292735111
226	9.270183588
227	9.260079915
228	9.246955912
229	9.235178004
230	9.220239581
231	9.213013935
232	9.206000832
233	9.193152929
234	9.180813566
235	9.168826481
236	9.16119615
237	9.149620792
238	9.141137232
239	9.133207868
240	9.125600322
241	9.114224931
242	9.10581455
243	9.088273453
244	9.077337438
245	9.066997001
246	9.057453993
247	9.05121482
248	9.035392412
249	9.024952007
250	9.01256179
251	9.005419788
252	8.996204187
253	8.988964711
254	8.979874169
255	8.971131579
256	8.961857898
257	8.953101974
258	8.944972211
259	8.937995895
260	8.927147953
261	8.916832479
262	8.906147984
263	8.897026432
264	8.886841073
265	8.877306308
266	8.868369244
267	8.860848515
268	8.854120683
269	8.839453614
270	8.831254175
271	8.822042722
272	8.812668277
273	8.803112082
274	8.79308146
275	8.780595915
276	8.773377634
277	8.763641482
278	8.756228021
279	8.748110202
280	8.740393185
281	8.73486087
282	8.727982678
283	8.722434168
284	8.71521386
285	8.709435133
286	8.696235166
287	8.686710266
288	8.677229576
289	8.668089572
290	8.66203567
291	8.653472261
292	8.644815517
293	8.637626497
294	8.632351672
295	8.622215741
296	8.615474241
297	8.607125587
298	8.599839483
299	8.594322723
300	8.585708472
301	8.574892344
302	8.569361541
