iter	Passed	Remaining
0	137	412809
1	146	219027
2	153	153740
3	162	121813
4	170	102236
5	180	89938
6	191	81722
7	200	74977
8	209	69573
9	218	65226
10	227	61791
11	235	58719
12	244	56225
13	253	54146
14	263	52418
15	272	50771
16	282	49554
17	292	48485
18	301	47300
19	311	46487
20	321	45542
21	331	44907
22	341	44256
23	352	43681
24	362	43119
25	372	42614
26	381	42020
27	391	41513
28	399	40910
29	409	40553
30	418	40077
31	429	39841
32	439	39498
33	448	39099
34	457	38750
35	465	38310
36	474	37978
37	482	37596
38	490	37217
39	498	36906
40	506	36579
41	515	36295
42	526	36178
43	536	36019
44	544	35781
45	553	35566
46	562	35315
47	573	35242
48	581	35006
49	590	34812
50	598	34635
51	608	34480
52	616	34271
53	624	34069
54	633	33924
55	641	33731
56	650	33573
57	659	33435
58	667	33282
59	676	33149
60	684	32993
61	692	32830
62	701	32693
63	709	32557
64	718	32459
65	727	32321
66	736	32254
67	744	32111
68	752	31957
69	761	31865
70	770	31804
71	780	31756
72	790	31682
73	799	31629
74	807	31498
75	816	31430
76	824	31310
77	832	31190
78	841	31108
79	849	30999
80	857	30898
81	865	30801
82	873	30695
83	881	30609
84	890	30547
85	898	30455
86	906	30363
87	915	30302
88	924	30229
89	932	30142
90	940	30058
91	947	29959
92	955	29876
93	963	29796
94	971	29717
95	979	29641
96	988	29577
97	996	29498
98	1004	29441
99	1013	29379
100	1021	29329
101	1030	29270
102	1038	29202
103	1045	29126
104	1055	29094
105	1064	29055
106	1074	29053
107	1084	29040
108	1092	28981
109	1100	28905
110	1108	28850
111	1116	28788
112	1124	28735
113	1133	28683
114	1141	28647
115	1150	28594
116	1158	28552
117	1166	28486
118	1176	28478
119	1184	28431
120	1192	28369
121	1199	28307
122	1208	28264
123	1216	28222
124	1225	28180
125	1233	28139
126	1241	28088
127	1250	28059
128	1259	28022
129	1267	27972
130	1275	27934
131	1284	27906
132	1292	27862
133	1301	27829
134	1308	27769
135	1316	27733
136	1325	27708
137	1334	27679
138	1343	27644
139	1351	27608
140	1359	27573
141	1367	27530
142	1376	27498
143	1384	27469
144	1392	27427
145	1401	27393
146	1408	27342
147	1417	27308
148	1425	27272
149	1434	27256
150	1442	27218
151	1450	27184
152	1458	27144
153	1466	27104
154	1474	27069
155	1482	27032
156	1491	27000
157	1499	26966
158	1507	26936
159	1516	26921
160	1524	26884
161	1534	26876
162	1542	26845
163	1550	26816
164	1558	26781
165	1566	26743
166	1574	26706
167	1582	26682
168	1590	26648
169	1599	26623
170	1607	26596
171	1615	26563
172	1623	26523
173	1630	26479
174	1638	26446
175	1646	26414
176	1654	26383
177	1663	26365
178	1672	26352
179	1681	26346
180	1691	26343
181	1705	26410
182	1714	26389
183	1723	26384
184	1733	26370
185	1743	26376
186	1751	26347
187	1761	26347
188	1769	26320
189	1779	26312
190	1787	26293
191	1796	26276
192	1806	26275
193	1815	26254
194	1824	26248
195	1832	26216
196	1841	26205
197	1849	26176
198	1858	26157
199	1866	26125
200	1875	26112
201	1883	26085
202	1892	26079
203	1900	26051
204	1909	26031
205	1918	26026
206	1927	26002
207	1936	25998
208	1945	25980
209	1954	25968
210	1962	25935
211	1970	25909
212	1977	25877
213	1985	25853
214	1993	25821
215	2001	25798
216	2009	25768
217	2017	25741
218	2025	25715
219	2033	25699
220	2042	25681
221	2051	25668
222	2059	25642
223	2067	25621
224	2076	25610
225	2084	25585
226	2092	25558
227	2100	25534
228	2108	25510
229	2116	25495
230	2124	25469
231	2132	25442
232	2141	25431
233	2152	25443
234	2164	25465
235	2173	25460
236	2187	25500
237	2200	25538
238	2210	25531
239	2220	25533
240	2230	25529
241	2239	25522
242	2249	25525
243	2258	25513
244	2268	25506
245	2276	25490
246	2285	25468
247	2293	25451
248	2302	25433
249	2310	25417
250	2318	25394
251	2328	25395
252	2337	25374
253	2346	25367
254	2354	25349
255	2363	25329
256	2371	25312
257	2380	25296
258	2388	25277
259	2397	25260
260	2405	25247
261	2415	25242
262	2426	25252
263	2434	25232
264	2444	25232
265	2453	25215
266	2462	25210
267	2472	25202
268	2480	25185
269	2491	25187
270	2500	25179
271	2510	25182
272	2522	25195
273	2531	25183
274	2541	25182
275	2549	25158
276	2559	25161
277	2569	25155
278	2577	25137
279	2586	25124
280	2594	25103
281	2603	25092
282	2611	25067
283	2619	25048
284	2626	25022
285	2634	25003
286	2643	24986
287	2651	24971
288	2659	24945
289	2667	24930
290	2675	24907
291	2684	24893
292	2691	24870
293	2701	24860
294	2709	24841
295	2718	24833
296	2726	24812
297	2736	24814
298	2744	24791
299	2753	24781
300	2761	24765
301	2770	24753
302	2778	24729
