,Unnamed: 0,DateTime,Price_EUR_MWh,Datetime_UTC,Total_MWh,PV_and_Wind_MWh,Wind_Offshore_MWh,Wind_Onshore_MWh,Photovoltaics_MWh,Other_MWh,Forecasted_Grid Load_(Forecasted_Total_Consumption)_MWh,offshore_wind_speed,offshore_wind_gusts,offshore_temperature,offshore_wind_direction,onshore_temperature_2m_c,onshore_wind_speed_10m_kmh,onshore_wind_direction_10m_deg,onshore_wind_gusts_10m_kmh,Date,Carbon,Coal,Gas,hour,day_of_week,month,is_weekend,is_peak_hour,forecast_residual_load_mwh,renewable_penetration_ratio,solar_to_wind_ratio,price_lag_24h,price_lag_168h,price_volatility_24h,PV_and_Wind_Last_Year,Absolute_Difference_MWh,Percentage_Change_%,demand_ramp_3h_mw,spatial_wind_variance,wind_speed_volatility_delta,gas_generation_cost_floor_eur,gas_ttf_5d_variance,carbon_eua_5d_variance,heating_degree_days,cooling_degree_days,solar_saturation_index,regime_saturation_flag,Gas_1d_lag,Carbon_1d_lag,Coal_1d_lag
0,8807,2024-01-02 23:00:00,-0.08,2024-01-03 00:00:00+01:00,59123.98,41741.25,3180.0,38561.25,0.0,3180.0,44904.25,48.5568,86.5351,7.732,115.99901637101624,8.45,20.1,187.0,45.975,2024-01-03,73.31999969482422,109.25,32.79499816894531,23,1,1,0,0,3163.0,0.9295612328611297,0.0,30.59,41.35,25.454986812472228,21106.25,20635.0,97.76724903760734,-9215.75,404.89473312,196.45145469999994,75.66679032897949,0.11972487866598808,0.2857256095066408,6.550000000000001,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
1,8808,2024-01-03 00:00:00,-1.23,2024-01-03 01:00:00+01:00,56940.13,41364.5,2968.75,38395.75,0.0,2968.75,43065.5,31.0646,71.12519999999999,8.4984,140.48269361109757,8.9,21.8,192.25,48.8,2024-01-03,73.31999969482422,109.25,32.79499816894531,0,2,1,0,0,1701.0,0.9605020257606431,0.0,20.07,52.07,27.333351976176814,19730.75,21633.75,109.64484370842467,-7944.25,42.916406579999986,-114.063302025,75.66679032897949,0.14658046571796104,0.4514295200393623,6.1,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
2,8809,2024-01-03 01:00:00,-1.3,2024-01-03 02:00:00+01:00,57087.38,41720.25,2782.0,38938.25,0.0,2782.0,42152.25,28.9316,41.5873,8.415099999999999,141.62590895265015,9.125,20.075000000000003,199.75,50.65,2024-01-03,73.31999969482422,109.25,32.79499816894531,1,2,1,0,0,432.0,0.989751436521241,0.0,31.03,57.63,28.718928764562285,18415.5,23304.75,126.54964567891179,-5269.5,39.21968177999997,-170.74749786500007,75.66679032897949,0.17253744154723996,0.6150574435976988,5.875,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
3,8810,2024-01-03 02:00:00,-1.31,2024-01-03 03:00:00+01:00,57272.38,42262.25,2801.25,39461.0,0.0,2801.25,42620.0,26.0487,40.3704,8.3485,124.3473165629774,9.25,21.125,207.75,48.7,2024-01-03,73.31999969482422,109.25,32.79499816894531,2,2,1,0,0,357.75,0.991606053263349,0.0,18.39,51.65,30.40083793419835,17254.25,25008.0,144.93820363098945,-2284.25,12.121410845,-149.00317499999994,75.66679032897949,0.19759580615382483,0.7766093801816499,5.75,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
4,8811,2024-01-03 03:00:00,-1.31,2024-01-03 04:00:00+01:00,57633.83,42864.25,2907.5,39956.75,0.0,2907.5,44437.0,31.1799,37.1537,7.615499999999999,89.93743999135783,9.325,22.825000000000003,217.25,52.025000000000006,2024-01-03,73.31999969482422,109.25,32.79499816894531,3,2,1,0,0,1572.75,0.9646071964883751,0.0,11.08,49.77,31.524250292777506,16135.25,26729.0,165.6559396352706,1371.5,34.90217700499998,-187.50663623999995,75.66679032897949,0.22175555953771572,0.9360853297912156,5.675000000000001,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
5,8812,2024-01-03 04:00:00,-1.38,2024-01-03 05:00:00+01:00,59103.75,43192.75,2916.75,40276.0,0.0,2916.75,48099.0,32.7781,46.7658,7.149099999999999,81.00465356289662,9.0,24.15,217.75,55.05,2024-01-03,73.31999969482422,109.25,32.79499816894531,4,2,1,0,0,4906.25,0.8979968396644427,0.0,13.78,55.98,32.260645538231586,14800.5,28392.25,191.83304618087226,5946.75,37.22205480500003,-235.72320243999997,75.66679032897949,0.2450167016989126,1.093485292426397,6.0,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
6,8813,2024-01-03 05:00:00,1.09,2024-01-03 06:00:00+01:00,67035.57,46480.0,4005.75,42474.25,0.0,4005.75,53994.0,33.3928,48.6632,6.8660000000000005,76.85335656328523,8.95,23.95,221.0,53.725,2024-01-03,73.31999969482422,109.25,32.79499816894531,5,2,1,0,0,7514.0,0.8608363890690008,0.0,47.63,65.06,33.1018302369548,13595.0,32885.0,241.89040088267743,11374.0,44.58323592000002,-305.765743325,75.66679032897949,0.2673792326374154,1.2488092680871938,6.050000000000001,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
7,8814,2024-01-03 06:00:00,40.59,2024-01-03 07:00:00+01:00,72100.96,46988.5,4015.75,42972.75,0.0,4015.75,58474.5,38.1564,46.5771,6.4163,72.17871294704187,8.975000000000001,25.275,227.0,57.675,2024-01-03,73.31999969482422,109.25,32.79499816894531,6,2,1,0,0,11486.0,0.8035724972759797,0.0,58.1,77.44,34.43583213168212,12506.75,34481.75,275.70511923561276,14037.5,82.96523298,-290.67961679999996,75.66679032897949,0.2888431523532242,1.4020572567736063,6.024999999999999,0.0,0.0,0,30.57200050354004,71.8949966430664,106.1500015
8,8815,2024-01-03 07:00:00,59.61,2024-01-03 08:00:00+01:00,73886.53,47076.75,3996.5,42664.5,415.75,3996.5,61023.5,36.5733,51.72299999999999,6.5668,60.11781992070225,8.925,24.125,228.75,57.475,2024-01-03,73.31999969482422,109.25,32.79499816894531,7,2,1,0,0,13946.75,0.771452800843699,0.008910010499365635,65.67,82.73,34.346025992088464,12509.75,34567.0,276.32047003337397,12924.5,77.48008644500004,-287.1090189999999,75.66679032897949,0.309408460846339,1.5532292584856335,6.074999999999999,0.0,0.00681294910865274,0,30.57200050354004,71.8949966430664,106.1500015
9,8816,2024-01-03 08:00:00,60.61,2024-01-03 09:00:00+01:00,74663.46,48233.75,3956.0,42073.5,2204.25,3956.0,62359.5,34.1085,53.0568,6.4505,45.83388583474296,8.9,24.200000000000003,227.5,53.825,2024-01-03,73.31999969482422,109.25,32.79499816894531,8,2,1,0,1,14125.75,0.7734787801740747,0.04788776761687879,64.73,80.56,34.208873997032825,14667.5,33566.25,228.8477927390489,8365.5,49.08918612499996,-390.7982743750003,75.66679032897949,0.3290751581167598,1.7023252732232759,6.1,0.0,0.03534746108686768,0,30.57200050354004,71.8949966430664,106.1500015
