,Feature,Coefficient_Weight
37,solar_saturation_index,-17.159703112275768
20,forecast_residual_load_mwh,12.390325093790075
14,onshore_wind_gusts_10m_kmh,9.931336042880218
23,price_lag_24h,9.879514811976577
6,Forecasted_Grid Load_(Forecasted_Total_Consumption)_MWh,8.790321750283177
3,Wind_Onshore_MWh,-8.612134956570644
11,onshore_temperature_2m_c,7.881152441886611
1,PV_and_Wind_MWh,-6.723152853536679
12,onshore_wind_speed_10m_kmh,-6.69558386554386
35,heating_degree_days,5.94610982500775
0,Total_MWh,5.079922439658081
31,wind_speed_volatility_delta,-4.399283818428371
25,price_volatility_24h,3.702174096929421
26,PV_and_Wind_Last_Year,-3.558370292688137
40,Carbon_1d_lag,3.4357172944826715
27,Absolute_Difference_MWh,-3.1354150939586996
8,offshore_wind_gusts,-2.928951029077965
29,demand_ramp_3h_mw,2.6529399544292964
16,day_of_week,-2.519571842510184
18,is_weekend,2.4503155466689264
32,gas_generation_cost_floor_eur,2.2476887479893404
39,Gas_1d_lag,2.0997562199077406
24,price_lag_168h,1.914179838059567
7,offshore_wind_speed,1.9037512211955465
38,regime_saturation_flag,-1.5867662495428059
30,spatial_wind_variance,1.457401349312992
15,hour,1.2393421141669538
4,Photovoltaics_MWh,-1.1402153886811566
19,is_peak_hour,1.0483335804982488
13,onshore_wind_direction_10m_deg,1.0046715736186786
21,renewable_penetration_ratio,-0.9712935656496936
9,offshore_temperature,-0.9425950158146948
17,month,0.9095984935717137
41,Coal_1d_lag,0.8796480730832195
36,cooling_degree_days,0.8107723931731166
34,carbon_eua_5d_variance,-0.5799065197447446
2,Wind_Offshore_MWh,-0.47355903931473764
5,Other_MWh,-0.47355903931453946
22,solar_to_wind_ratio,-0.34926977324029135
28,Percentage_Change_%,0.20911363084984833
33,gas_ttf_5d_variance,0.16729082310500193
10,offshore_wind_direction,0.0288093939944818
